id;start_time;end_time;total_price;is_paid
1;2023-03-10T03:52:12;2023-03-09T12:22:44;13776;true
2;2023-03-10T03:58:53;2023-03-10T06:59:41;87284;false
3;2023-03-10T01:06:05;2023-03-10T05:19:33;99889;false
4;2023-03-09T14:36:04;2023-03-10T00:43:53;37233;true
5;2023-03-10T05:18:41;2023-03-09T14:32:10;54021;false
6;2023-03-09T17:25:59;2023-03-09T23:30:55;11608;true
7;2023-03-10T00:45:40;2023-03-09T20:14:09;68002;true
8;2023-03-09T19:58:54;2023-03-09T11:45:59;90100;false
9;2023-03-09T13:32:05;2023-03-09T13:41:15;55098;true
10;2023-03-10T02:28:48;2023-03-09T18:03:33;71573;true
