id;start_time;end_time;is_deleted
1;2023-03-09T12:02:49;2023-03-09T16:34:18;true
2;2023-03-10T00:27:13;2023-03-10T07:06:52;true
3;2023-03-10T00:04:42;2023-03-09T22:06:08;false
4;2023-03-09T14:46:32;2023-03-10T08:18:51;true
5;2023-03-10T03:24:08;2023-03-10T09:47:26;false
6;2023-03-10T07:13:31;2023-03-09T14:50:59;true
7;2023-03-10T00:45:37;2023-03-10T05:41:52;true
8;2023-03-10T09:23:12;2023-03-10T00:59:13;false
9;2023-03-09T20:07:46;2023-03-09T19:06:41;false
10;2023-03-10T06:47:48;2023-03-09T21:06:32;false
